ID,CRC.222,CRC.57,CRC.82,CRC.220,CRC.90,CRC.180,CRC.151,CRC.143,CRC.235,CRC.238,CRC.104,CRC.160,CRC.97,CRC.66,CRC.96,CRC.134,CRC.207,CRC.132,CRC.190,CRC.204,CRC.102,CRC.121,CRC.144,CRC.17,CRC.50,CRC.9,CRC.145,CRC.199,CRC.136,CRC.6,CRC.225,CRC.110,CRC.152,CRC.46,CRC.157,CRC.118,CRC.149,CRC.48,CRC.206,CRC.5,CRC.47,CRC.60,CRC.219,CRC.27,CRC.169,CRC.231,CRC.119,CRC.18,CRC.164,CRC.163,CRC.130,CRC.100,CRC.191,CRC.173,CRC.109,CRC.205,CRC.55,CRC.183,CRC.116,CRC.87,CRC.88,CRC.139,CRC.166,CRC.77,CRC.86,CRC.175,CRC.23,CRC.105,CRC.10,CRC.141,CRC.52,CRC.215,CRC.198,CRC.12,CRC.42,CRC.240,CRC.58,CRC.233,CRC.171,CRC.53,CRC.44,CRC.93,CRC.35,CRC.39,CRC.80,CRC.224,CRC.140,CRC.36,CRC.65,CRC.22,CRC.43,CRC.192,CRC.216,CRC.229,CRC.232,CRC.189,CRC.135,CRC.7,CRC.146,CRC.156,CRC.178,CRC.25,CRC.227,CRC.213,CRC.195,CRC.237,CRC.214,CRC.234,CRC.186,CRC.197,CRC.188,CRC.172,CRC.210,CRC.182,CRC.89,CRC.24,CRC.174,CRC.113,CRC.211,CRC.239,CRC.40,CRC.161,CRC.202,CRC.230,CRC.201,CRC.170,CRC.196,CRC.19,CRC.194,CRC.177,CRC.193
_1_11_UNDECANEDICARBOXYLATE,-0.15455076,0.079919623,1.53815671,0.634988266,-0.297193833,0.332679338,-0.482886255,0.172102857,0.328800023,-1.415105443,-0.770676383,0.057985849,0.003194891,0.804733277,0.008959741,0.384445741,-0.405565113,0.048218572,-0.315670109,-0.798285499,-0.361543921,0.182321557,0.099483278,0.011829752,0.640273691,-0.191281578,0.337757125,-0.84769794,-0.294505298,-0.314573768,0.236888653,-0.086975014,0.743459994,0.243338259,-0.615260642,-0.41581852,-1.245142081,1.228411726,-0.932420114,0.157431008,0.00079968,0.189710855,0.294011996,0.025570276,-0.060918415,0.125839385,0.075107472,-0.424189317,0.894167815,-0.565986035,-0.196014884,1.066295687,-0.384046141,-0.777398733,-0.33128571,-0.002302649,-0.339817827,-0.168892136,-1.258781041,0.007074914,0.381172416,0.289006195,0.003892415,0.094309679,-0.335332886,0.206282194,0.544531156,-1.712578671,-0.824623543,0.290353501,-0.447381451,0.031886189,0.497314762,0.737068368,0.302619945,-0.523910863,-1.122700084,0.017053755,-0.455075609,-0.780449509,0.353750672,-0.003205131,-0.627546723,0.135928517,-0.255150347,-0.180802711,0.047265192,-0.220023424,-0.34658318,-0.067529657,0.695544305,-0.088612658,-0.166645077,0.331459695,0.219456763,0.002297359,0.823824504,1.01523068,0.510725619,-0.430629082,-0.019794627,-0.183322057,0.053825087,0.25278002,-0.150939176,-0.018469516,0.030432207,1.451988464,-0.757792374,0.655808695,-0.802292628,0.774404535,0.004888034,-2.120263536,-0.045206593,-0.966794864,0.446671029,-0.650470906,-0.135934277,-0.458391314,0.01813457,-1.039588948,0.349458971,0.496402103,0.529922119,-0.220521991,-1.533403226,0.205305393,-1.38469564,0.126985012,-0.263965546
_1_2_PROPANEDIOL,-0.424800844,0.01607018,0.455777922,0.218733843,-0.557567886,-0.119008787,0.907976262,0.092852617,-0.424495034,0.625403528,0.014494446,-0.625675465,0.032757564,-0.455706325,-0.197597644,1.439029116,1.70123283,0.54962317,-0.605502671,0.73414516,-0.145951055,-0.086538761,-0.314710745,-0.78987837,1.217313421,-0.18452398,0.862552345,0.023423515,-0.71233,0.212123048,-0.023985363,-0.091896015,-0.2749633,-0.563874845,-0.278656261,0.937034093,1.761592315,0.067938983,0.840273245,-0.15280159,0.437867759,0,-0.179605249,-0.422509543,0.348259634,0.527269676,-0.529498889,-0.272990524,0.278918787,0.315759195,-0.574475651,0.027128667,-0.565457819,0,1.076128069,0.267275263,-0.040613683,2.16133254,0.2038384,-0.370773868,-0.098605604,0,-0.989668202,1.215891494,0.397634529,0.658296903,-0.056041391,0.750188921,-0.326561511,-0.236735505,-0.232310439,-0.416121688,-0.674521716,-0.828050943,-0.743598724,0.881864905,0.799262411,-0.052241112,1.299646554,1.272369498,0.686072212,-0.607336524,1.120210688,-0.625488532,-0.033143219,0.054109326,-0.187293898,-0.489227224,0.099573805,0.437092966,-0.200404064,-0.080234393,-0.818710404,0.324544237,0,-0.163578314,-0.01501212,-0.76593295,0.087919298,0.118049667,-0.066139803,-0.885276678,-0.694948803,-0.311155429,-0.562469857,0.408593543,0.50675736,-0.455706325,1.675225653,-0.801177925,0.554689387,-0.103806169,0.171344866,0.491459301,0.159138221,-0.989668202,0.032176732,-0.510658971,0.865712971,-0.081535488,0.270332434,0.150744887,-0.390970662,0.232063649,-0.445662298,-0.489716661,-0.119797563,-0.393190747,-0.989668202,-0.111266812,-0.523573197
_1_3_7_TRIMETHYLURATE,-0.069886127,1.465382767,-3.611918413,-0.133645685,-0.161695739,-0.667479434,1.190096979,1.721193933,-0.280243143,-1.961125315,0.485446275,0.977724438,-2.268183666,-1.425867136,-2.595614772,2.863497183,-0.057205474,1.773459712,0.054109326,-0.561943495,3.014406814,-2.155027529,0.889125064,-0.16110816,-5.426150738,2.213819451,-0.502526821,-2.131155977,-0.293297811,2.550600753,1.485868166,-0.393190747,1.174585187,1.814173064,-1.188427593,-2.95459033,-2.90224193,0.091575943,-1.947010754,2.273248966,-0.913544506,-3.516608233,0.21817121,0.260362262,0.330238562,3.278249783,0.48931594,1.670495382,-0.020100672,0.171092075,-1.662311402,-3.571985703,1.621643125,-2.635264531,-1.485010334,-1.892464173,0.877799353,-1.212677245,-2.342365963,-0.778922958,1.044296888,-0.652581219,2.321249818,-2.247150386,1.754057602,-0.19007151,0.506215011,-0.271808723,-3.022076249,1.683747293,-0.455390917,0.475488559,-1.62964062,0.527859716,1.196464689,-2.256656161,0.077701508,-2.594275187,2.931108415,0.860270494,1.262147368,-0.446912298,-0.247820539,-0.437110586,0.537662278,-2.161085531,-1.060161102,-3.480240589,2.674003811,1.301770796,-0.569337895,-1.616462527,-0.232058169,0.248733322,-0.147108865,0.117871921,-1.446469084,1.810564867,-0.615815838,-3.543913684,1.561591303,-0.659325632,1.380100217,-2.801811581,0.263747922,-0.115747609,1.344664749,2.353648861,-0.601115095,-0.355390055,-1.769019982,-1.817692851,-1.89645354,0.210017784,2.07045125,0.47865361,1.004374867,-0.314847741,-1.610438413,2.886307956,-1.893127964,0.978175736,-0.255795884,1.440900911,-0.754809841,1.074217132,-1.575519694,0.118138528,1.77776196,1.815394612,-0.676093426
_1_HEXADECANOL,-1.199980783,1.18261637,-0.391710143,1.383841355,0.782530742,0.513182843,1.520366233,-0.28568407,-1.141937413,-0.314026048,0.798272669,0.490847381,1.091688374,0.402126207,-0.436800988,-0.474011651,-0.780667778,1.442769208,-0.937259038,-0.478358434,-0.01572296,-0.865835288,-0.032316601,1.911954409,3.109190415,0.844493933,1.119035638,-0.447068658,1.024606875,4.441359835,1.545901556,0.250914348,0,-1.04497674,0.169405165,1.017546836,2.734562296,1.116779593,0.902475743,-0.501865882,-0.303269596,-0.285817146,-1.135380013,-0.338554403,-1.668657272,-0.922057327,-0.704208128,-0.292627615,-0.621198681,-0.334494194,-0.800955133,1.975066651,-0.854490331,-0.250900228,1.715670048,0.523781335,-0.373385215,-0.158526908,-0.073431278,0.015479571,-0.998585975,-1.182211313,0.686122566,1.893428179,1.091084022,0.942893714,-0.726703964,-0.85143976,-0.549566452,-0.769812265,1.032543709,0.162288903,-1.017769901,-0.586267819,-0.861565832,1.193922468,2.073750378,0.303358552,0.93691655,3.177812134,-0.471124257,-0.044056386,-0.368024825,1.369732975,0.319326078,-0.230168166,1.266355879,-1.187443502,0.400988436,0.611286154,1.040312047,0.247562956,0.378230935,0.527977683,0.352978119,0.968655452,-1.364141556,-0.370049703,-1.377532855,-1.854699269,0.357114847,-1.245837008,-1.548342813,0.450693381,-0.52306691,0.844193045,1.561884983,0.320125061,0.093308177,-0.297059234,0.412771683,-0.538539462,-0.065498982,-2.338212271,0.082685367,-0.350125013,-0.329754849,0,-0.990744918,1.718489607,0.971990304,-0.893551245,0.528803057,-0.632804952,-1.271538124,1.579741301,0.595479223,-1.62455155,-0.929882685,1.42805991,-0.569691377
_1_METHYLXANTHINE,0.363183716,-1.533866726,-0.359536176,1.975926544,0.870456196,-0.757152511,2.299961655,0.263901544,-5.149897361,1.368359488,-5.149897361,-4.990832667,1.68365445,-5.149897361,0.243024607,-3.196625216,-3.835061964,-5.149897361,-3.199073198,2.135987268,-1.885850393,-1.429201862,-0.598382604,1.130885849,-1.144446825,-0.870600606,-4.312500572,-1.558744798,-1.877317358,-4.057048777,0.097761718,0.498955451,-3.294138309,-5.149897361,2.918624422,0.063350316,2.439604147,1.628455918,0.940163496,-1.008954417,0.611937125,-4.366153286,-0.95503156,-3.013896244,-2.034850658,-4.068676815,1.749217246,0.63148452,-5.149897361,0.498894733,-1.401611065,1.194891696,-2.017406151,0.380830827,0.152463543,-3.302257434,-1.897119985,1.331785376,-5.149897361,2.794662054,-2.388142981,2.35038429,-1.152013065,-0.922560345,-3.634391269,-3.23653076,-1.158043872,-1.312300681,-2.254747764,-4.305065594,-0.605685905,-2.131998792,-2.701571235,-4.933674253,-2.916921093,-2.847312268,-3.73387682,-3.608221551,-2.176833888,2.080815597,-0.151055475,-2.80016549,2.809023105,0.797236889,-0.080126044,-0.58250066,0.331459695,0.436963775,-0.321721565,2.747335015,1.036240308,0.885006442,2.761382415,2.991006123,-2.173312757,1.245277882,1.799099135,-1.736135565,2.007717265,-0.937514368,-3.582719258,1.595136128,0.081211255,1.050157068,1.999207149,2.383076931,0,-3.369698715,0,0.893226792,-0.602027587,-0.27089051,1.270434475,-0.028193734,-5.149897361,2.035489654,-3.80766299,-3.571985703,-1.685239626,-3.11226609,1.259142575,-4.160484365,0.279070096,-3.393229212,1.341009297,-3.032396258,1.625232518,1.672863314,-0.06400533,-2.916921093,-5.149897361
_1_OCTADECANOL,-1.174737679,0.707887999,-0.907826653,1.072405196,0.114310346,1.032864147,0.896414502,-0.257605605,-0.364419139,-1.024711481,1.163869302,0.842945546,0.218653486,-0.341927087,-0.294639553,-0.806763907,-0.358390701,1.079429469,0.395616772,-0.348140041,0.150658876,-1.313415716,0.055907632,3.887974136,1.955011463,0.74398287,0.617345467,-0.082946921,1.311543875,6.004736583,0.73611088,-0.079259681,0.464425601,-0.657587005,-0.286615974,-0.523573197,0.767883527,1.571050452,-0.002202424,-0.110708122,-0.107473858,-0.052978925,-1.005395207,-0.06134363,-1.084709383,-0.395118816,-0.973125669,-0.231932057,-0.462988294,-0.505506462,-1.087079053,1.46637553,-0.770676383,-1.130722343,0.742318225,-0.893795654,-0.020202707,0.067004229,0.800969663,-0.027782381,-1.165393322,-0.849333264,0.448269137,0.88628503,0.708282068,2.312555226,-0.281832548,-1.430037284,-0.697356025,0.424221437,0.295427003,0.381582168,-1.06479074,-0.456968951,-0.8703618,0.959081986,0.826891051,0.546791044,1.377682384,3.794634892,-0.447381451,-0.100372974,-0.574475651,0.878090298,-0.251028755,-0.576965426,1.491914843,-1.592580795,0.633344096,0.153922082,0.840704745,-0.237242476,1.732434003,-0.012275031,0.721831814,0.522477477,-1.235807528,0.505310443,-1.57358826,-1.920729851,0.356694944,-1.282655326,-1.32425897,0.076590602,0.106699619,0.639588163,0.544124994,0.539762874,-0.137080541,-0.399135184,1.579576464,0.369561554,-0.473851021,-2.628315233,0.033241334,-0.284354282,-0.109368537,0.85929701,-0.244750305,1.31407307,0.439351104,-1.452006904,0.082685367,0.143060843,-0.407066389,1.622235671,0.027031339,-1.295357366,-1.212677245,0.974861481,0.79746215
_1_OLEOYLGLYCEROPHOSPHOCHOLIN,1.46727509,0.17487725,2.16803604,-0.648747593,-1.443923474,2.056697342,-0.309518767,0.962945284,-1.904480339,2.479416607,-2.036382052,-0.505838082,0.812173887,0.498348102,1.349785966,-0.163107338,0.722705983,-0.141218002,-0.707246105,1.098345586,2.486122577,-1.720928288,0.242004559,1.165803538,0.616266136,0.621865979,1.175202891,1.213873629,-4.057048777,-3.673006105,0.742603789,1.583237664,-2.037915795,-1.22894879,2.280380383,-0.138457793,2.451048201,-0.446912298,0.45527063,2.138653401,1.128850472,0.247562956,0.46649749,-0.458391314,-2.849037894,-0.194799078,1.945495778,0.082777426,0.685568535,-0.585190039,0.264592549,0,-0.422051912,0.378504927,-2.756715373,0.872965607,3.007240796,-1.044124103,0.534034209,-1.975441952,3.137010457,0.338969117,1.368715759,0.99399224,-1.759098687,-2.169803982,-0.145025772,4.226684829,-1.62964062,-2.184802057,0.090663035,-2.491327218,1.049001788,-0.175187068,-1.26513924,0.852242757,-0.490369615,-0.245133569,-1.25351325,0.419828131,-2.688247574,-0.03386707,2.211751877,0.003294567,-1.680933914,-0.090909875,2.038710689,1.979966451,-0.045834536,0.341388702,-0.253989431,0.007571265,0.008860628,0.75452446,-1.829461336,-0.559490796,1.980808347,0.062035391,1.386119346,-1.219424909,-0.93828075,1.066639909,-0.03573081,-0.472406514,0.383219499,1.766116822,0.399715276,2.799163708,-0.204812595,2.516639463,1.594872348,-0.093981063,1.054277186,0.295203714,-3.717278929,1.202822143,-0.122506674,-1.238564249,1.57627402,-1.413460029,-2.288682188,-0.959459227,1.10701026,-0.343335737,1.687953301,-1.037893554,-1.525556428,0.906159585,2.815893632,-1.904480339,-0.008939842
_1_OLEOYLGLYCEROPHOSPHOETHANO,0.496949798,1.46939393,-0.102143474,-0.377023434,-0.852846559,1.286474026,0.079088406,-0.356817811,-1.824489294,1.723890965,-0.431706419,0.166869452,2.131939111,0.265359773,0.014790085,1.587233202,-0.071388596,-0.476907406,-0.065605757,0.02887896,1.392102461,-3.007804855,-0.185366187,-0.694748462,2.054239112,1.184453537,1.473755637,1.91770172,-2.346536981,-2.615926912,1.358203481,0.238071572,-1.166034965,-0.057311367,0.658038003,-0.433864583,0.780516827,-2.142168372,0.343305976,1.270687082,1.839612687,0.733473052,2.262221327,-2.280823601,-1.907170321,-0.029737818,1.497500259,-0.337993393,0.169742775,-0.522055106,-0.606786015,-0.257864404,-0.430167721,0.349529476,0.145571123,1.314986312,0.93526949,-1.809109108,-0.976571663,-2.156754645,0.334040711,-0.405565113,1.696752577,0.527446725,-0.623621118,-2.200931439,-0.438660013,1.761746897,-3.007804855,-2.3816283,-1.520054351,-1.882559834,-1.733867991,-1.673443242,0.09567375,1.23250195,-0.31416295,-0.27641248,-0.829196025,0.62577799,-2.610469873,-1.609938037,1.901644733,0,-0.401821753,1.501407168,0.473622075,1.211553994,0.533916955,0.640853386,0.330238562,-1.050965635,-0.451770861,0.27748021,-1.101416216,0.23483494,-0.790760009,-0.768733168,0.000899595,-3.007804855,0.890767775,-1.123314901,-2.023439352,-0.209857207,0.044973366,0.570301351,-0.097502581,0.469753598,0.21929616,0.014100124,0.370252352,0.145830448,1.680474028,-0.597655199,-1.013077001,0.601196352,-1.645583359,0.736589738,-0.19334206,-1.699909816,-1.603455841,0,1.661840591,-0.436027414,-0.11440126,-1.059295426,0.416141248,-0.132275039,0.807145285,-1.009777575,0.395684096
_1_PALMITOYLGLYCEROL,0.608623615,-0.16735413,1.390659819,-0.453028525,-0.097502581,-0.559490796,0.429442017,-0.053611769,0.009554213,0.28735702,-1.242367192,-0.954252238,-0.118333187,-0.138457793,1.652535715,-0.2269006,1.587049144,-0.239272933,-1.587187303,2.030855107,-0.310200384,-0.334633927,0.446479084,1.416144383,0.088926209,0.024399887,0.117960798,-0.414606766,-1.274395269,-0.608438453,2.347548898,-0.13056437,-0.212698293,-1.060449828,0.252857681,0.206932865,0.369146845,0.573969423,0.110736042,-0.2749633,0.088926209,-0.353964335,-0.181042375,0.057230633,-0.229035877,0.475115541,2.23291342,-0.228156093,-0.025010163,-0.177214619,0.883271549,-0.217037233,-0.168181993,1.160240328,-1.277619344,-0.02081514,0.612316663,-0.765502843,0.102376067,-0.741287556,0.804509648,1.592393478,0.881367969,0.342809258,-0.108365025,-0.404665428,0.832169719,1.755060906,-1.406497068,-0.769812265,-0.051609134,-0.453343188,2.886497596,0.844407974,-0.392006088,0.631005784,-0.272333796,-0.841183259,0.59161267,1.00224822,0,0.103368533,0.880912228,-0.048665172,0.440188544,0.396962396,1.737056861,2.470275129,0.05845757,0.43812589,0,0.504525822,1.104395533,0.644954338,-1.087375657,-0.618410834,1.053405696,-0.16546444,1.001403641,1.162025177,-0.451613764,1.473847258,0.845181336,0.216078654,0.02039069,0.437351297,0.30910104,0.079642628,0.777028665,2.155696315,0.901583103,0.611991354,0.358932394,-2.679462744,-1.066822966,-0.55321134,-0.011162065,0.083973434,0.72890035,-0.619896719,-0.951399909,-1.503277717,-0.532560116,-0.376586149,1.013598914,-1.112609798,-0.211956362,0.85420254,-0.510159179,-0.767439785,-0.55582299
_1_PALMITOYLGLYCEROPHOSPHOCHO,1.744038733,0.701908686,1.256328035,-0.755235373,-0.637901706,2.17937737,1.17659133,-0.746337009,-2.412399959,3.140222152,-1.86885652,-0.676683455,0.641538047,-0.120135801,1.233754883,0.648934026,0.149970527,0.502894253,-1.37081479,3.123100337,0.948525562,-1.479726306,0.013212331,0.920402268,1.74372402,0.889412733,1.637344866,0.969983146,-2.709050701,-2.791975436,1.037481289,0.897393295,-2.143873402,-0.817577259,1.627651042,-0.163696093,3.726803654,0.879543757,0.594762279,2.137781202,0.735200417,-0.466808738,0.383764681,-0.3315643,-2.842153186,-0.415061002,1.445883153,-0.204199135,0.610254582,-0.287282152,0.603660014,1.164587278,0.061283228,2.348361196,-1.758518135,1.399284621,3.224937416,0.260901657,-0.313478627,-1.755041886,1.598983455,-0.27733578,1.605349567,0.065600457,-1.253863574,-2.241489994,-0.267748735,3.910866337,-1.961125315,-2.482908647,0.394606365,-2.240549702,0.429181635,-0.13159042,-1.286268047,1.961052072,-0.341082849,-0.468404908,-1.077927697,2.306626914,-1.789162843,-0.398986142,3.505362183,-0.478842578,-0.542316291,-0.011465478,2.598220454,2.026871116,-0.195649987,0.010346292,0.075571187,-0.168773744,2.05765595,1.393890438,-1.510497965,-0.368602943,0.896414502,-0.521886571,1.440853567,-0.686171567,-1.059007034,0.363392332,-1.177006356,-0.010454458,-0.945462109,1.593938413,0.750330594,1.450864132,0.682692723,0.907976262,1.525208118,0.157003749,0.972141625,2.012179315,-3.48675527,0.713782794,-1.119631656,-0.778051688,1.24498998,-1.277978218,-2.698595042,-0.621570982,1.438269923,0.137149838,0.809551488,-1.658628157,-0.824395467,0.768532907,3.120552711,-1.47797115,0.01133551
_1_PALMITOYLGLYCEROPHOSPHOETH,1.253277122,2.29665756,-0.525939262,0.628928608,-0.947265536,1.731195262,0.960881615,-1.041287222,-2.317698731,1.461842367,-0.26188438,0.524906028,1.934935866,0.558643887,-0.032626503,1.493645394,-0.17542539,-0.261234902,-1.54271428,0.281865187,0.658348675,-2.709050701,-0.188621359,0.627861714,0.959503466,0.607534824,1.473205733,1.439455909,-2.898605563,-2.598299337,1.282266291,0.315759195,-0.688159639,-0.333237474,0.798767662,-0.017451394,1.23814232,0.208557693,1.248611506,1.183351642,1.618774193,-0.655466114,1.745924933,-1.831956659,-1.947010754,-0.850971266,1.866124551,-0.059325466,0.018919885,-0.001300846,-0.285551011,1.397456828,-0.487597498,2.7235429,0.007868958,0.749385727,1.593572723,-0.018062143,-2.050271164,-1.995835958,-0.345311185,-0.838404193,2.17262446,0.693896899,-0.123750807,-1.705948813,-0.225020311,0.393729852,-3.17725415,-2.981829368,-1.803629642,-1.922779732,-1.015006705,-1.907170321,-0.072033203,1.519907,-0.649704623,-0.408720401,-0.982163476,1.567114792,-1.865621318,-0.583037958,1.424408693,0.441861323,0.334040711,2.34867638,0.761039447,0.965499856,0.851773544,0.033241334,0.610471844,-1.349769586,-0.212203611,1.244817199,-1.172474137,0.598836501,-1.871452238,-0.830571856,1.022127134,-2.909554577,0.841825773,-1.024990149,-2.767800206,-0.001801622,-0.900417383,0.74749331,0.423435993,-0.822800389,0.751557588,-1.244100595,0.324399655,0.30269383,2.116966106,-1.330670457,-1.525096764,0.001798382,-1.95970486,0.098486947,-1.163791015,-1.452434164,-2.154165088,0.716473006,2.023082808,0.017152059,-0.433093275,-1.958995389,0.06719125,0.523188883,-0.534435489,-1.606442403,0.265666498
_1_PALMITOYLPLASMENYLETHANOLA,0.281865187,0.863817795,-0.847464541,-0.136965855,1.791075902,0.544647172,0.049837235,1.293438667,0.589950988,3.519398108,0.236651901,0.787729823,0.269798103,1.048265914,0.584280526,2.239890205,0.956549368,-2.595614772,-0.248333162,1.381005399,-2.742641646,-3.680911284,-0.31992982,-1.274752986,-3.680911284,-1.022762976,2.529919849,0.182321557,0.152892746,0.537194879,-0.361687486,-0.723400224,-0.141678778,0,0.807947996,-0.579461416,-0.273647683,0.093308177,1.690833551,-0.927098931,1.822240176,0.658762754,2.226351787,0.99299248,0.327503567,-3.199073198,-0.103362513,0.984995562,-0.813508537,2.252470052,1.669817798,0.305865743,3.423874957,0.392312322,-1.170215708,-1.012251123,2.288993139,0.126632651,-1.403643999,1.303293115,-0.731888009,-1.193032864,-0.566162169,-2.530741186,0.093672476,0.075478461,-0.718054816,3.408219337,-0.112832808,-0.233193887,-0.483859176,-2.253794929,-1.347073648,-3.457767733,0.898289681,1.631766758,0,0.222343231,-0.217658621,1.186256799,-0.142139767,0.041237908,3.506451892,0.133918818,0.318017272,0.622080732,1.667253888,1.049702117,-0.988861425,-2.080241862,-0.444101992,-0.86441011,-0.041134543,0.513482092,-2.073857163,1.468265976,-2.77900929,-3.372609925,0.284727713,-1.54975491,1.848517803,-1.381505844,-0.090034123,-1.667596827,-0.092663685,-2.350725468,-0.308293026,-0.086320706,-0.450357877,-0.859674131,-3.680911284,-1.194682757,0.039509133,0.437738669,-2.013653801,0.418249702,0.834169198,0.363044614,-1.571660548,-0.02644665,1.258233691,0.611340418,1.26807373,-1.782601531,0.772004571,-0.132389188,0.076405331,0.558929838,1.088528282,-1.036764885,-0.240798487
_1_STEAROYLGLYCERO,0.994325271,0.268575703,0.598341873,-0.069028586,-0.012376271,0.078256498,0.355784548,0.20057069,-0.142831649,0.864239255,-0.806315879,-0.753109522,-0.238637972,0.252236226,1.073533768,0.364851425,2.441738154,-0.529838563,-0.649896139,3.436200882,0,-0.543693227,0.524195843,0.870414319,-0.055829885,-0.060599622,-0.771757581,-0.340379861,-1.029179514,0.335400234,3.762285573,-0.524586539,-0.675896827,-0.632428446,0.434635485,0.231032353,-0.089049817,0.811241279,0,0.01222497,-0.927604492,-0.32075638,-0.390527236,0.381786981,-0.996687669,-0.029840842,1.678889345,-0.052978925,-0.434327653,0.317216603,0.627754962,-0.624554389,-0.01065658,0.238307988,-1.23065907,-0.264095763,0.032757564,0.651335113,0.475675016,-0.297059234,0.858068223,1.155055632,1.344795054,0.351008922,-0.928110309,-0.787238104,0.134268621,1.526795161,-1.270112607,-1.140372223,-0.146529793,-0.917541514,2.747104234,0.992028803,-0.376294731,0.016365354,-0.753534331,-0.008536331,1.067878129,0.912202386,0.257042436,0.142540687,0.666392443,0.551986761,-0.341786331,0.43857746,2.411008912,2.174978968,-0.428631386,0.344723813,1.654698044,-0.036145447,1.603520439,0.852114812,-0.686370196,-0.068278841,0.491520473,0.203104096,1.232181181,0.99812875,-0.700171795,1.65337824,0.262671909,0.219055205,0.043059489,0.075756612,-0.085884739,0.485261632,-1.467504417,1.858654586,0.71083974,0.022054991,-0.182601596,-0.855195633,-0.009949331,-0.4547604,-0.195528384,-0.079043207,1.246083568,-0.699769057,-0.63073592,-0.593120866,-0.400925428,-0.388018195,1.160866954,-0.822572728,-0.1806829,0.876967613,0.052782185,-0.368892128,-0.065498982
_1_STEAROYLGLYCEROPHOSPHOCHOL,1.673069773,1.164306392,0.287432041,-0.562469857,-0.239527031,2.610444722,1.407909071,-1.077927697,-2.371935171,2.83266025,-1.033386504,-0.17411532,-0.022961612,-0.389788629,0.584392021,1.583196601,0.133306367,0.180736969,-0.790980541,2.046039865,2.089429001,-1.461017907,0.022446189,0.573687741,1.608697638,0.702552809,2.452934271,1.255872415,-3.079113882,-2.695627681,1.795585474,0.270713924,-2.037915795,-0.071603419,1.082584528,-0.450044152,2.939659153,0.409921829,0.180987334,2.025051352,0.587453276,-0.633558389,1.114518446,-0.259159406,-3.408221997,-0.659905847,1.478668417,0.336615084,1.100809872,-0.536998498,0.115647424,0.930627468,0.180987334,2.409122915,-2.080241862,0.864913223,1.883700343,-0.159699379,-0.30652516,-2.219163485,1.504743841,0.074550731,2.273846055,-0.002603386,-2.047942875,-2.425883309,-0.169365846,3.588108391,-2.067512971,-1.769606665,-1.366491734,-2.806766174,0.198604927,-0.533582611,-0.286349627,2.293170918,-1.080870607,0.996099566,-0.802292628,1.319700396,-1.803629642,-0.215051381,2.977726132,-1.435484605,-0.72649716,-0.715597309,1.88738778,1.478782381,0,-0.365427421,0.069526063,-0.316904931,1.859636162,0.254099435,-2.225624052,-0.413245295,0.039893564,0.077979041,0.7305393,-0.205794913,-0.67648674,0.342809258,-0.916790857,-0.371208619,-0.300564698,0.6550818,-0.069564463,0.74174685,0.384854154,0.369077711,0.193591149,0.782256356,0.52573394,1.8252426,-3.241632812,0.331675034,-1.32275634,-1.32275634,1.751614329,-0.826221535,-3.575550769,-0.353252237,1.432676867,-0.269318388,1.377959724,-1.557794679,-0.594388409,0.653054087,2.644762453,-1.204973305,0.835601148
_10_HEPTADECENOATE__17_1N7_,1.059559561,-0.101479169,0.047455941,0.468627683,0.176638774,0.196799576,0.479334957,1.090680918,0.239646623,0.684711702,0.226019412,0.977649202,0.473061449,-1.540378377,0.810085415,-0.341223506,0.342170258,-1.856618042,0.095855486,0.988536972,-1.532476871,-1.50237884,0.582662447,0.027031339,-1.306374738,-1.101416216,1.08170347,0.023521195,-0.868691753,-0.035834453,-0.71396232,-0.157589921,0.350093333,-0.83149013,0.872631383,-0.533923675,-0.89037935,-0.085122253,-0.026036015,-0.535630743,0.503619724,0.041621675,1.593125587,0.348118441,-0.127151786,-1.847695102,1.148195789,0.331746804,0.575657852,0.195155515,0.31481074,-0.037079008,0.75235904,0.754007069,-0.434018916,-0.751412089,1.261269542,1.595987865,-0.773056564,0.185649347,-1.422128814,0.805180384,0.034014879,-1.789761467,-0.535459905,1.119264228,-0.111937653,0.420944679,0.684055981,0.667316421,-1.621510494,-0.677077,0.592995299,-0.872991807,0.840877293,1.51023617,-0.47320876,-0.010353412,-1.167319487,0.299067017,0.533330479,0.315686269,1.687416954,0.934680597,-0.066139803,-0.020100672,0.846468946,0.45152138,-0.702187925,-0.414909567,-0.549046837,-0.213069466,1.093264682,0.52532007,-1.861109547,0.089200645,-0.175544573,-1.660731207,0.52087496,0.43424691,-0.14618251,0.43379338,1.111396883,-0.759073331,-0.849333264,-0.738144546,0.344723813,-0.171381617,-1.77136878,-0.056887862,-2.950758908,-1.770193691,-0.16511052,-1.718137329,-2.037148629,1.499466784,-0.423120043,1.24112407,0.170248976,-0.71355399,0.042772092,0.829991828,0.569396373,-0.942634707,0.189131649,-0.024087796,2.51063125,0.761086164,-0.665142984,-1.072652187,0.182154876
